CHROMOSOME	START	END	ELEMENT	SYMBOL
1	38474825	38516520	ENSG00000238063	LINC01685
1	55938714	55939280	ENSG00000227104	PIGQP1
1	54715861	54742657	ENSG00000243725	TTC4
1	39757182	39788865	ENSG00000116985	BMP8B
1	44118821	44135140	ENSG00000171872	KLF17
1	56494761	56645301	ENSG00000162407	PLPP3
1	37611350	37634892	ENSG00000169218	RSPO1
1	37534449	37554293	ENSG00000163877	SNIP1
1	52772194	52772648	ENSG00000228929	RPS13P2
1	56585612	56586242	ENSG00000224980	RPL23AP85
1	64984608	64986087	ENSG00000185031	SLC2A3P2
1	53196792	53214197	ENSG00000157184	CPT2
1	42176539	42335877	ENSG00000198815	FOXJ3
1	52408282	52553487	ENSG00000134744	TUT4
1	64745095	64833232	ENSG00000162437	RAVER2
1	40593633	40594353	ENSG00000233910	GTF2F2P2
1	44137821	44141631	ENSG00000283039	KLF18
1	58575433	58577252	ENSG00000184292	TACSTD2
1	63322567	63325128	ENSG00000187140	FOXD3
1	62190522	62190926	ENSG00000234088	RPS15AP7
1	51707138	51708137	ENSG00000236973	GAPDHP51
1	47688463	47704029	ENSG00000227947	LINC01738
1	61741998	61742424	ENSG00000271200	PATJ-DT
1	69215835	69249477	ENSG00000235446	LINC02791
1	46994382	46994502	ENSG00000261196	CYP4A43P
1	63159083	63317274	ENSG00000224209	LINC00466
1	61248945	61253510	ENSG00000237853	NFIA-AS1
1	53226900	53238518	ENSG00000162385	MAGOH
1	68496676	68538627	ENSG00000234264	DEPDC1-AS1
1	69055838	69229607	ENSG00000223883	LINC01707
1	48096092	48182428	ENSG00000242267	SKINT1L
1	63547082	63550636	ENSG00000116652	DLEU2L
1	50960745	50974634	ENSG00000123080	CDKN2C
1	19338775	19485539	ENSG00000077549	CAPZB
1	53328233	53336509	ENSG00000225675	LINC01771
1	68375327	68375663	ENSG00000237622	ELOCP18
1	59987269	60073770	ENSG00000162598	C1orf87
1	45016399	45306209	ENSG00000162415	ZSWIM5
1	58415384	58546802	ENSG00000162600	OMA1
1	66999350	67054148	ENSG00000116704	SLC35D1
1	53073110	53073389	ENSG00000227644	HIGD1AP11
1	53242364	53328469	ENSG00000157193	LRP8
1	54053584	54112519	ENSG00000116205	TCEANC2
1	52032103	52033810	ENSG00000198841	KTI12
1	53946085	53968168	ENSG00000116212	LRRC42
1	62189131	62189953	ENSG00000234204	PIGPP2
1	72274552	72275159	ENSG00000233994	GDI2P2
1	48089368	48089634	ENSG00000237180	CYP46A4P
1	65092392	65092614	ENSG00000234496	MRPS21P1
1	73305609	73355253	ENSG00000233973	LINC01360
1	76758124	76779267	ENSG00000237552	LINC02567
1	62236165	62319434	ENSG00000132854	KANK4
1	77979175	78017964	ENSG00000162616	DNAJB4
1	62436297	62451804	ENSG00000162607	USP1
1	44243408	44244273	ENSG00000233602	ERI3-IT1
1	78170481	78171237	ENSG00000233333	RNFT1P2
1	77282019	77559966	ENSG00000154027	AK5
1	79521080	79522203	ENSG00000232676	ADH5P2
1	68514375	68514669	ENSG00000225167	TXNP2
1	48295373	48472208	ENSG00000132122	SPATA6
1	77979542	78138444	ENSG00000137960	GIPC2
1	68428822	68449954	ENSG00000116745	RPE65
1	62597520	62606313	ENSG00000132855	ANGPTL3
1	67701475	67833467	ENSG00000172380	GNG12
1	73104792	73106282	ENSG00000229636	KRT8P21
1	65248219	65415871	ENSG00000116675	DNAJC6
1	65147549	65232145	ENSG00000162433	AK4
1	65420587	65436007	ENSG00000213625	LEPROT
1	72301472	72301829	ENSG00000227207	RPL31P12
1	72765031	72791282	ENSG00000227016	LINC02796
1	52709122	52709442	ENSG00000233664	NDUFS5P3
1	60912675	61056885	ENSG00000237928	NFIA-AS2
1	64470129	64693058	ENSG00000158966	CACHD1
1	63523372	63572693	ENSG00000203965	EFCAB7
1	73635216	73715214	ENSG00000223479	LINC02238
1	84925583	84997113	ENSG00000153898	MCOLN2
1	76867480	77067546	ENSG00000117069	ST6GALNAC5
1	62784132	62865516	ENSG00000125703	ATG4C
1	72793104	72854475	ENSG00000285808	LINC02797
1	65298755	65298980	ENSG00000234144	COX6CP13
1	64972225	65002489	ENSG00000226891	LINC01359
1	84085741	84086233	ENSG00000213540	TXN2P1
1	66042500	66050718	ENSG00000227466	PDE4B-AS1
1	75918873	75932404	ENSG00000154007	ASB17
1	68282388	68282622	ENSG00000225242	COX6B1P7
1	47497894	47498341	ENSG00000229554	RPL21P24
1	78889764	79282124	ENSG00000162618	ADGRL4
1	38874069	38881587	ENSG00000131233	GJA9
1	84076331	84077931	ENSG00000271576	PRKACB-DT
1	47550196	47550753	ENSG00000227883	ATP6V0E1P4
1	39692182	39763914	ENSG00000084072	PPIE
1	48325080	48326123	ENSG00000224986	PPP1R8P1
1	86468368	86500259	ENSG00000016490	CLCA1
1	37809574	37859592	ENSG00000188786	MTF1
1	64833229	65067754	ENSG00000162434	JAK1
1	83865024	83999150	ENSG00000137941	TTLL7
1	67685201	67688334	ENSG00000116717	GADD45A
1	43650149	43705518	ENSG00000066135	KDM4A
1	83979118	83984300	ENSG00000233061	TTLL7-IT1
1	71794232	71837012	ENSG00000228853	NEGR1-IT1
1	89394033	89394665	ENSG00000215874	CAPNS1P1
1	58882868	58931897	ENSG00000232453	LINC02777
1	31500085	31509648	ENSG00000260386	LDC1P
1	85649417	85708433	ENSG00000117174	ZNHIT6
1	54641754	54710266	ENSG00000184313	MROH7
1	90851122	90855253	ENSG00000225446	LINC01763
1	78303884	78540701	ENSG00000122420	PTGFR
1	87212669	87264741	ENSG00000284240	LINC02801
1	52573114	52573816	ENSG00000236290	EEF1GP7
1	87328880	87348923	ENSG00000143013	LMO4
1	52404602	52420836	ENSG00000134748	PRPF38A
1	85156889	85201016	ENSG00000097096	SYDE2
1	77088989	77219430	ENSG00000142892	PIGK
1	53974969	53976031	ENSG00000219102	HNRNPA3P12
1	76074746	76634603	ENSG00000184005	ST6GALNAC3
1	60097415	60097976	ENSG00000229332	PGBD4P8
1	81080790	81081171	ENSG00000227937	MTND2P30
1	81098267	81099005	ENSG00000229752	RPL7P10
1	87620803	88685204	ENSG00000237505	PKN2-AS1
1	79325008	79346445	ENSG00000285462	LINC02792
1	42162690	42164745	ENSG00000197273	GUCA2A
1	55066359	55215364	ENSG00000162402	USP24
1	51709062	51709940	ENSG00000232846	SLC25A6P3
1	79054945	79056055	ENSG00000230787	PSAT1P3
1	62454298	62688386	ENSG00000116641	DOCK7
1	77881348	77889539	ENSG00000235927	NEXN-AS1
1	71395943	72282539	ENSG00000172260	NEGR1
1	88577880	88578201	ENSG00000237959	RPL36AP10
1	83445967	83480024	ENSG00000231364	LINC01712
1	46394317	46413848	ENSG00000117480	FAAH
1	88935773	88992953	ENSG00000137944	KYAT3
1	52633168	52669683	ENSG00000182183	SHISAL2A
1	80283352	80283970	ENSG00000236407	HMGB1P18
1	86571181	86696311	ENSG00000236915	CLCA4-AS1
1	93866284	93879918	ENSG00000067334	DNTTIP2
1	80451083	80452004	ENSG00000213559	HNRNPA1P64
1	86346824	86396342	ENSG00000122417	ODF2L
1	43525187	43623666	ENSG00000142949	PTPRF
1	54849627	54887195	ENSG00000116133	DHCR24
1	86288704	86320711	ENSG00000285210	LINC02795
1	90892992	90893612	ENSG00000232882	PHKA1P1
1	86552625	86553342	ENSG00000224466	CDCA4P2
1	85729233	86156943	ENSG00000171502	COL24A1
1	54998933	55017172	ENSG00000162399	BSND
1	52602371	52609051	ENSG00000116157	GPX7
1	94820342	94895246	ENSG00000143036	SLC44A3
1	77773865	77774864	ENSG00000232672	ACTG1P21
1	82903183	83166815	ENSG00000230817	LINC01362
1	77847110	77848802	ENSG00000235613	NSRP1P1
1	88684222	88836255	ENSG00000065243	PKN2
1	57860532	57880905	ENSG00000226759	DAB1-AS1
1	93927714	93928302	ENSG00000226960	MTCO1P21
1	89407679	89426243	ENSG00000225492	GBP1P1
1	87353521	87371683	ENSG00000227290	LINC01364
1	63262113	63262707	ENSG00000223683	RPSAP65
1	86547078	86580754	ENSG00000016602	CLCA4
1	55217645	55324691	ENSG00000231090	MIR4422HG
1	94418389	94518666	ENSG00000117528	ABCD3
1	54641786	54742308	ENSG00000271723	MROH7-TTC4
1	42430329	42456253	ENSG00000066185	ZMYND12
1	94974405	95072951	ENSG00000172339	ALG14
1	77562416	77683419	ENSG00000036549	ZZZ3
1	53851719	53889798	ENSG00000058799	YIPF1
1	67660155	67661013	ENSG00000232048	HNRNPCP9
1	94650544	94651378	ENSG00000232857	KATNBL1P2
1	40690380	40692066	ENSG00000272145	NFYC-AS1
1	54007298	54018186	ENSG00000203985	LDLRAD1
1	34759740	34762327	ENSG00000189433	GJB4
1	43269983	43274002	ENSG00000179178	TMEM125
1	50417550	50423443	ENSG00000142700	DMRTA2
1	41506365	42035925	ENSG00000127124	HIVEP3
1	86634273	86655376	ENSG00000153923	CLCA3P
1	86704570	86748184	ENSG00000097033	SH3GLB1
1	13281035	13285174	ENSG00000182330	PRAMEF8
1	61681046	61725423	ENSG00000162604	TM2D1
1	50398825	50399773	ENSG00000229316	HMGB1P45
1	52927276	53051698	ENSG00000116171	SCP2
1	50461469	50471150	ENSG00000225767	FAF1-AS1
1	93922574	93923945	ENSG00000234099	MTND4P11
1	93561741	93847150	ENSG00000137936	BCAR3
1	93924743	93925385	ENSG00000232752	MTCO3P21
1	14692129	14692613	ENSG00000235829	TBCAP2
1	90711539	90717302	ENSG00000143032	BARHL2
1	95510059	95782342	ENSG00000228971	LINC02607
1	40132764	40133448	ENSG00000226745	OAZ1P1
1	44213455	44220681	ENSG00000178028	DMAP1
1	109984765	110023742	ENSG00000168710	AHCYL1
1	94896949	94927223	ENSG00000117519	CNN3
1	44155028	44155301	ENSG00000238037	OOSP1P1
1	107571161	107965180	ENSG00000134215	VAV3
1	58047889	58049335	ENSG00000229887	HNRNPA1P6
1	96446930	96448318	ENSG00000228502	EEF1A1P11
1	82970820	82986208	ENSG00000236268	LINC01361
1	57605847	57606206	ENSG00000236888	RPS20P5
1	77853355	77853893	ENSG00000232015	HSPE1P25
1	97077743	97995000	ENSG00000188641	DPYD
